Year,Частота наблюдений,Тип отчетности,Series,Территория,Составная разбивка,Units,Value
2011,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,28.3
2012,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,15.0
2013,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,16.2
2014,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,15.6
2015,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,17.3
2016,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,16.5
2017,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,16.9
2018,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,14.2
2007,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,29.6
2008,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,31.4
2009,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,27.4
2010,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,27.0
2011,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,20.4
2012,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,21.0
2013,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,17.2
2014,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,22.9
2015,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,20.4
2016,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,15.9
2017,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,16.0
2018,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,16.2
2007,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,91.7
2008,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,91.4
2009,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,73.3
2010,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,70.2
2011,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,63.0
2012,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,67.7
2013,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,51.5
2014,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,46.2
2015,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,40.9
2016,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,45.8
2017,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,43.8
2018,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,34.5
2007,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,105.8
2008,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,101.9
2009,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,88.7
2010,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,83.6
2011,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,78.5
2012,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,88.9
2013,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,82.3
2014,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,75.5
2015,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,63.4
2016,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,61.9
2017,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,47.4
2018,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,40.3
2007,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,39.5
2008,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,40.1
2009,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,36.4
2010,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,35.1
2011,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,29.3
2012,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,25.7
2013,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,20.8
2014,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,22.2
2015,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,17.9
2016,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,20.3
2017,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,17.2
2018,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,18.6
2007,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,26.0
2008,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,20.4
2009,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,17.1
2010,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,15.2
2011,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,17.6
2012,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,29.1
2013,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,14.5
2014,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,17.5
2015,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,14.4
2016,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,13.8
2017,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,12.1
2018,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,13.0
2007,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,38.0
2008,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,32.8
2009,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,24.7
2010,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,21.7
2011,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,24.3
2012,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,19.1
2013,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,16.9
2014,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,13.5
2015,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,12.7
2016,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,14.2
2017,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,14.7
2018,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,13.6
2007,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Бишкек,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,12.0
2008,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Бишкек,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,9.2
2009,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Бишкек,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,8.7
2010,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Бишкек,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,7.6
2011,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Бишкек,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,6.8
2012,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Бишкек,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,7.0
2013,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Бишкек,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,4.9
2014,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Бишкек,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,6.5
2015,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Бишкек,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,5.2
2016,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Бишкек,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,4.8
2017,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Бишкек,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,4.3
2018,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Бишкек,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,5.0
2007,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Ош,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,23.8
2008,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Ош,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,23.3
2009,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Ош,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,22.0
2010,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Ош,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,17.1
2011,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Ош,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,12.9
2012,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Ош,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,15.1
2013,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Ош,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,8.4
2014,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Ош,Неинфекционные заболевания: Хронические респираторные заболевания,На 100 000 населения,10.1
